Address,District,City,Country,Latitude,Longitude
Phường Văn Miếu,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.027836,105.837673
Phường Quốc Tử Giám,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.02831175,105.83591925
Phường Láng Thượng,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.02092,105.803341
Phường Ô Chợ Dừa,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.020389,105.823549
Phường Văn Chương,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.022649,105.836013
Phường Hàng Bột,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.022709,105.830593
Phường Láng Hạ,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.017196,105.810226
Phường Khâm Thiên,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.01621,105.840432
Phường Thổ Quan,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.018627,105.833873
Phường Nam Đồng,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.01493,105.83021
Phường Trung Phụng,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.016284,105.837635
Phường Quang Trung,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.01054,105.825684
Phường Trung Liệt,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.011325,105.821154
Phường Phương Liên,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.011173,105.837472
Phường Thịnh Quang,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.009263,105.817572
Phường Trung Tự,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.009363,105.834956
Phường Kim Liên,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.006573,105.836008
Phường Phương Mai,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.001782,105.839098
Phường Ngã Tư Sở,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.004856,105.822194
Phường Khương Thượng,Quận Đống Đa,Thành phố Hà Nội,Việt Nam,21.003371,105.828303
Phường Nguyễn Du,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.018709,105.845453
Phường Bạch Đằng,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.012673,105.868244
Phường Phạm Đình Hổ,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.013853,105.858974
Phường Lê Đại Hành,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.008184,105.844228
Phường Đồng Nhân,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.01169,105.855881
Phường Phố Huế,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.010994,105.85287
Phường Đống Mác,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.011747,105.860753
Phường Thanh Lương,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.005536,105.865054
Phường Thanh Nhàn,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.007006,105.853498
Phường Cầu Dền,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.005517,105.849865
Phường Bách Khoa,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.004062,105.84582
Phường Đồng Tâm,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,20.998162,105.846427
Phường Vĩnh Tuy,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,20.99741,105.869633
Phường Bạch Mai,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.000787,105.851959
Phường Quỳnh Mai,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,21.001302,105.860064
Phường Quỳnh Lôi,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,20.99898,105.857294
Phường Minh Khai,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,20.996007,105.857089
Phường Trương Định,Quận Hai Bà Trưng,Thành phố Hà Nội,Việt Nam,20.992132,105.851818
Phường Thanh Trì,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.993676,105.891515
Phường Vĩnh Hưng,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.987126,105.874342
Phường Định Công,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.982219,105.82759
Phường Mai Động,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.990953,105.861088
Phường Tương Mai,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.987435,105.851606
Phường Đại Kim,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.972034,105.83185
Phường Tân Mai,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.985283,105.846343
Phường Hoàng Văn Thụ,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.983611,105.859496
Phường Giáp Bát,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.983653,105.843255
Phường Lĩnh Nam,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.980877,105.887672
Phường Thịnh Liệt,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.975888,105.844677
Phường Trần Phú,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.972412,105.881181
Phường Hoàng Liệt,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.962183,105.839261
Phường Yên Sở,Quận Hoàng Mai,Thành phố Hà Nội,Việt Nam,20.965975,105.869153
Phường Nhân Chính,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,21.003455,105.80726
Phường Thượng Đình,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.996842,105.814733
Phường Khương Trung,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.995665,105.824005
Phường Khương Mai,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.994613,105.83111
Phường Thanh Xuân Trung,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.993129,105.807773
Phường Phương Liệt,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.990952,105.838087
Phường Hạ Đình,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.990505,105.812061
Phường Khương Đình,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.988816,105.818529
Phường Thanh Xuân Bắc,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.991168,105.799984
Phường Thanh Xuân Nam,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.987184,105.798252
Phường Kim Giang,Quận Thanh Xuân,Thành phố Hà Nội,Việt Nam,20.981965,105.813054
Thị trấn Sóc Sơn,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.257549,105.85268
Xã Bắc Sơn,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.36453,105.820927
Xã Minh Trí,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.272541,105.748791
Xã Hồng Kỳ,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.314497,105.856239
Xã Nam Sơn,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.320025,105.821784
Xã Trung Giã,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.317866,105.894549
Xã Tân Hưng,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.28609,105.921312
Xã Minh Phú,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.280413,105.791895
Xã Phù Linh,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.275789,105.850037
Xã Bắc Phú,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.27995,105.896885
Xã Tân Minh,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.269775,105.873495
Xã Quang Tiến,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.245759,105.810859
Xã Hiền Ninh,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.255621,105.796015
Xã Tân Dân,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.247782,105.744345
Xã Tiên Dược,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.24639,105.847183
Xã Việt Long,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.254126,105.922306
Xã Xuân Giang,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.244764,105.898425
Xã Mai Đình,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.228186,105.824425
Xã Đức Hoà,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.232319,105.882341
Xã Thanh Xuân,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.222379,105.767194
Xã Đông Xuân,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.214461,105.868433
Xã Kim Lũ,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.212532,105.907998
Xã Phú Cường,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.20691,105.791652
Xã Phú Minh,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.197704,105.816786
Xã Phù Lỗ,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.195503,105.846754
Xã Xuân Thu,Huyện Sóc Sơn,Thành phố Hà Nội,Việt Nam,21.196819,105.896387
Thị trấn Đông Anh,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.162939,105.846909
Xã Xuân Nộn,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.180492,105.869442
Xã Thuỵ Lâm,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.17556,105.901829
Xã Bắc Hồng,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.17767,105.807035
Xã Nguyên Khê,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.176735,105.837552
Xã Nam Hồng,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.165346,105.785598
Xã Tiên Dương,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.151581,105.830152
Xã Vân Hà,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.144298,105.913069
Xã Uy Nỗ,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.142947,105.85325
Xã Vân Nội,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.150468,105.81319
Xã Liên Hà,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.148567,105.898286
Xã Việt Hùng,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.138809,105.874861
Xã Kim Nỗ,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.134094,105.796031
Xã Kim Chung,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.127167,105.777174
Xã Dục Tú,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.121056,105.903505
Xã Đại Mạch,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.120762,105.758043
Xã Vĩnh Ngọc,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.115883,105.828291
Xã Cổ Loa,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.1129645,105.8732815
Xã Hải Bối,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.111524,105.790149
Xã Xuân Canh,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.08982,105.853496
Xã Võng La,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.111121,105.775431
Xã Tàm Xá,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.096058,105.837511
Xã Mai Lâm,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.086676,105.890722
Xã Đông Hội,Huyện Đông Anh,Thành phố Hà Nội,Việt Nam,21.080991,105.867169
Thị trấn Yên Viên,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.085477,105.917624
Xã Yên Thường,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.09982,105.921185
Xã Yên Viên,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.085477,105.917624
Xã Ninh Hiệp,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.081697,105.943029
Xã Đình Xuyên,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.079898,105.93228
Xã Dương Hà,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.070537,105.927996
Xã Phù Đổng,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.054876,105.95839
Xã Trung Mầu,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.058075,105.986294
Xã Lệ Chi,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.043936,106.005803
Xã Cổ Bi,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.027994,105.940589
Xã Đặng Xá,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.029273,105.960736
Xã Phú Thị,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.020449,105.967374
Xã Kim Sơn,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.026082,105.989378
Thị trấn Trâu Quỳ,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.011306,105.934938
Xã Dương Quang,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.00795,105.982537
Xã Dương Xá,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,21.003633,105.967325
Xã Đông Dư,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,20.99565,105.91334
Xã Đa Tốn,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,20.988203,105.930703
Xã Kiêu Kỵ,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,20.977118,105.956183
Xã Bát Tràng,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,20.975329,105.912655
Xã Kim Lan,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,20.961121,105.90172
Xã Văn Đức,Huyện Gia Lâm,Thành phố Hà Nội,Việt Nam,20.944014,105.900809
Phường Cầu Diễn,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,21.036209,105.762216
Phường Xuân Phương,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,21.03008,105.740937
Phường Phương Canh,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,21.035996,105.743887
Phường Mỹ Đình 1,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,21.017905,105.774412
Phường Mỹ Đình 2,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,21.030745,105.777694
Phường Tây Mỗ,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,21.005263,105.748128
Phường Mễ Trì,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,21.007688,105.780806
Phường Phú Đô,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,21.012379,105.763791
Phường Đại Mỗ,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,20.99559,105.757586
Phường Trung Văn,Quận Nam Từ Liêm,Thành phố Hà Nội,Việt Nam,20.992584,105.788816
Thị trấn Văn Điển,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.947509,105.845327
Xã Tân Triều,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.977476,105.79931
Xã Thanh Liệt,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.963816,105.815614
Xã Tả Thanh Oai,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.944526,105.80745
Xã Hữu Hoà,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.948102,105.801369
Xã Tam Hiệp,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.949304,105.832577
Xã Tứ Hiệp,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.946705,105.848934
Xã Yên Mỹ,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.94499,105.874519
Xã Vĩnh Quỳnh,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.937081,105.8386
Xã Ngũ Hiệp,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.92428,105.861436
Xã Duyên Hà,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.926315,105.879279
Xã Ngọc Hồi,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.920108,105.848859
Xã Vạn Phúc,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.913677,105.891969
Xã Đại áng,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.908869,105.823611
Xã Liên Ninh,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.907157,105.854225
Xã Đông Mỹ,Huyện Thanh Trì,Thành phố Hà Nội,Việt Nam,20.916727,105.874015
Phường Thượng Cát,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.092682,105.735914
Phường Liên Mạc,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.085396,105.750665
Phường Đông Ngạc,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.088329,105.78469
Phường Đức Thắng,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.078582,105.776142
Phường Thụy Phương,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.080981,105.766823
Phường Tây Tựu,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.070961,105.734233
Phường Xuân Đỉnh,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.074406,105.788937
Phường Xuân Tảo,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.061169,105.794204
Phường Minh Khai,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.062397,105.746645
Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.052456,105.783986
Phường Cổ Nhuế 2,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.065534,105.771809
Phường Phú Diễn,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.050597,105.763014
Phường Phúc Diễn,Quận Bắc Từ Liêm,Thành phố Hà Nội,Việt Nam,21.047432,105.751801
Thị trấn Chi Đông,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.209679,105.760202
Xã Đại Thịnh,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.186571,105.719779
Xã Kim Hoa,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.215544,105.73847
Xã Thạch Đà,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.170296,105.675169
Xã Tiến Thắng,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.230106,105.669599
Xã Tự Lập,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.213595,105.65116
Thị trấn Quang Minh,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.196432,105.772445
Xã Thanh Lâm,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.203559,105.727949
Xã Tam Đồng,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.19722,105.684963
Xã Liên Mạc,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.193218,105.651832
Xã Vạn Yên,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.198224,105.627895
Xã Chu Phan,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.169554,105.658579
Xã Tiến Thịnh,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.182939,105.631801
Xã Mê Linh,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.162982,105.732839
Xã Văn Khê,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.162709,105.707751
Xã Hoàng Kim,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.165307,105.688322
Xã Tiền Phong,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.155175,105.759219
Xã Tráng Việt,Huyện Mê Linh,Thành phố Hà Nội,Việt Nam,21.140918,105.736552
Phường Nguyễn Trãi,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.968945,105.781069
Phường Mộ Lao,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.982122,105.782542
Phường Văn Quán,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.98256,105.79347
Phường Vạn Phúc,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.979815,105.770485
Phường Yết Kiêu,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.975965,105.778688
Phường Quang Trung,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.969176,105.772198
Phường La Khê,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.970403,105.762966
Phường Phú La,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.958079,105.763333
Phường Phúc La,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.967271,105.788875
Phường Hà Cầu,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.96376,105.778082
Phường Yên Nghĩa,Quận Hà Đông,Thành phố Hà Nội,Việt Nam,20.951967,105.739192
